证券代码,证券简称,"EBITDA/利息费用
[报告期] 2011年报
[单位] 倍","EBITDA/利息费用
[报告期] 2012年报
[单位] 倍","EBITDA/利息费用
[报告期] 2013年报
[单位] 倍","EBITDA/利息费用
[报告期] 2014年报
[单位] 倍","EBITDA/利息费用
[报告期] 2015年报
[单位] 倍","EBITDA/利息费用
[报告期] 2016年报
[单位] 倍","EBITDA/利息费用
[报告期] 2017年报
[单位] 倍","EBITDA/利息费用
[报告期] 2018年报
[单位] 倍","EBITDA/利息费用
[报告期] 2019年报
[单位] 倍","流动比率
[报告期] 2011年报","流动比率
[报告期] 2012年报","流动比率
[报告期] 2013年报","流动比率
[报告期] 2014年报","流动比率
[报告期] 2015年报","流动比率
[报告期] 2016年报","流动比率
[报告期] 2017年报","流动比率
[报告期] 2018年报","流动比率
[报告期] 2019年报","速动比率
[报告期] 2011年报","速动比率
[报告期] 2012年报","速动比率
[报告期] 2013年报","速动比率
[报告期] 2014年报","速动比率
[报告期] 2015年报","速动比率
[报告期] 2016年报","速动比率
[报告期] 2017年报","速动比率
[报告期] 2018年报","速动比率
[报告期] 2019年报","EBITDA/带息债务
[报告期] 2011年报
[单位] 倍","EBITDA/带息债务
[报告期] 2012年报
[单位] 倍","EBITDA/带息债务
[报告期] 2013年报
[单位] 倍","EBITDA/带息债务
[报告期] 2014年报
[单位] 倍","EBITDA/带息债务
[报告期] 2015年报
[单位] 倍","EBITDA/带息债务
[报告期] 2016年报
[单位] 倍","EBITDA/带息债务
[报告期] 2017年报
[单位] 倍","EBITDA/带息债务
[报告期] 2018年报
[单位] 倍","EBITDA/带息债务
[报告期] 2019年报
[单位] 倍","资产负债率
[报告期] 2011年报
[单位] %","资产负债率
[报告期] 2012年报
[单位] %","资产负债率
[报告期] 2013年报
[单位] %","资产负债率
[报告期] 2014年报
[单位] %","资产负债率
[报告期] 2015年报
[单位] %","资产负债率
[报告期] 2016年报
[单位] %","资产负债率
[报告期] 2017年报
[单位] %","资产负债率
[报告期] 2018年报
[单位] %","资产负债率
[报告期] 2019年报
[单位] %","货币资金/短期债务
[报告期] 2011年报
[报表类型] 合并报表","货币资金/短期债务
[报告期] 2012年报
[报表类型] 合并报表","货币资金/短期债务
[报告期] 2013年报
[报表类型] 合并报表","货币资金/短期债务
[报告期] 2014年报
[报表类型] 合并报表","货币资金/短期债务
[报告期] 2015年报
[报表类型] 合并报表","货币资金/短期债务
[报告期] 2016年报
[报表类型] 合并报表","货币资金/短期债务
[报告期] 2017年报
[报表类型] 合并报表","货币资金/短期债务
[报告期] 2018年报
[报表类型] 合并报表","货币资金/短期债务
[报告期] 2019年报
[报表类型] 合并报表","带息债务/全部投入资本
[报告期] 2011年报
[单位] %","带息债务/全部投入资本
[报告期] 2012年报
[单位] %","带息债务/全部投入资本
[报告期] 2013年报
[单位] %","带息债务/全部投入资本
[报告期] 2014年报
[单位] %","带息债务/全部投入资本
[报告期] 2015年报
[单位] %","带息债务/全部投入资本
[报告期] 2016年报
[单位] %","带息债务/全部投入资本
[报告期] 2017年报
[单位] %","带息债务/全部投入资本
[报告期] 2018年报
[单位] %","带息债务/全部投入资本
[报告期] 2019年报
[单位] %","应收账款周转率
[报告期] 2011年报
[单位] 次","应收账款周转率
[报告期] 2012年报
[单位] 次","应收账款周转率
[报告期] 2013年报
[单位] 次","应收账款周转率
[报告期] 2014年报
[单位] 次","应收账款周转率
[报告期] 2015年报
[单位] 次","应收账款周转率
[报告期] 2016年报
[单位] 次","应收账款周转率
[报告期] 2017年报
[单位] 次","应收账款周转率
[报告期] 2018年报
[单位] 次","应收账款周转率
[报告期] 2019年报
[单位] 次","经营性现金净流量/营业总收入
[报告期] 2011年报
[单位] %","经营性现金净流量/营业总收入
[报告期] 2012年报
[单位] %","经营性现金净流量/营业总收入
[报告期] 2013年报
[单位] %","经营性现金净流量/营业总收入
[报告期] 2014年报
[单位] %","经营性现金净流量/营业总收入
[报告期] 2015年报
[单位] %","经营性现金净流量/营业总收入
[报告期] 2016年报
[单位] %","经营性现金净流量/营业总收入
[报告期] 2017年报
[单位] %","经营性现金净流量/营业总收入
[报告期] 2018年报
[单位] %","经营性现金净流量/营业总收入
[报告期] 2019年报
[单位] %","总资产净利率ROA
[报告期] 2011年报
[单位] %","总资产净利率ROA
[报告期] 2012年报
[单位] %","总资产净利率ROA
[报告期] 2013年报
[单位] %","总资产净利率ROA
[报告期] 2014年报
[单位] %","总资产净利率ROA
[报告期] 2015年报
[单位] %","总资产净利率ROA
[报告期] 2016年报
[单位] %","总资产净利率ROA
[报告期] 2017年报
[单位] %","总资产净利率ROA
[报告期] 2018年报
[单位] %","总资产净利率ROA
[报告期] 2019年报
[单位] %","净资产收益率ROE
[报告期] 2011年报
[单位] %","净资产收益率ROE
[报告期] 2012年报
[单位] %","净资产收益率ROE
[报告期] 2013年报
[单位] %","净资产收益率ROE
[报告期] 2014年报
[单位] %","净资产收益率ROE
[报告期] 2015年报
[单位] %","净资产收益率ROE
[报告期] 2016年报
[单位] %","净资产收益率ROE
[报告期] 2017年报
[单位] %","净资产收益率ROE
[报告期] 2018年报
[单位] %","净资产收益率ROE
[报告期] 2019年报
[单位] %","EBITDA/营业总收入
[报告期] 2011年报
[单位] %","EBITDA/营业总收入
[报告期] 2012年报
[单位] %","EBITDA/营业总收入
[报告期] 2013年报
[单位] %","EBITDA/营业总收入
[报告期] 2014年报
[单位] %","EBITDA/营业总收入
[报告期] 2015年报
[单位] %","EBITDA/营业总收入
[报告期] 2016年报
[单位] %","EBITDA/营业总收入
[报告期] 2017年报
[单位] %","EBITDA/营业总收入
[报告期] 2018年报
[单位] %","EBITDA/营业总收入
[报告期] 2019年报
[单位] %"
112027.SZ,11新兴02,8.3933,6.4941,4.8248,3.7946,3.215,3.2316,5.8908,8.9042,10.1644,1.3662,1.0592,1.0734,0.9398,1.0176,0.9231,1.029,1.0583,1.1359,1.0044,0.7615,0.7614,0.7155,0.7321,0.7638,0.9208,0.8326,0.8788,0.3232,0.2483,0.2004,0.1666,0.1539,0.1302,0.2012,0.2989,0.2623,58.9636,65.1748,66.2497,66.7699,64.0095,62.5549,57.9449,58.1242,54.8986,0.6685,0.4044,0.5202,0.4311,0.392,0.3946,0.4574,0.6499,0.8402,44.5614,49.7062,51.9538,51.9922,50.1737,52.6939,44.0224,42.0861,39.7842,48.0093,52.6871,50.1228,41.9122,31.9901,33.4587,26.3435,24.6888,22.8947,1.6964,4.0396,0.06,3.2982,4.1832,2.1164,8.928,9.255,7.6507,5.9052,4.158,2.3723,1.0663,0.8969,0.8997,2.168,4.033,3.1284,13.2224,10.7125,7.4043,5.1405,3.5697,2.5613,5.9044,10.4651,7.1801,6.6408,5.8423,5.9348,5.254,5.6694,5.1285,7.9057,11.6283,9.4747
112048.SZ,H1凯迪债,9.5929,2.2904,2.7422,3.0714,2.1339,2.2024,-0.276,-1.3545,-0.5089,1.1737,0.7511,0.6937,0.7248,0.6373,1.3897,0.7694,0.2417,0.2299,1.1019,0.7167,0.6352,0.5791,0.3798,1.0294,0.577,0.1778,0.1738,0.3143,0.0956,0.0738,0.0979,0.0988,0.1084,-0.0177,-0.1448,-0.0668,66.6357,73.5982,73.9482,76.2457,76.2214,69.6678,72.3594,96.9652,109.2675,0.5666,0.3166,0.2883,0.1658,0.2182,0.9511,0.1954,0.0403,0.0188,57.7305,67.1482,68.1295,70.6297,64.7568,58.6693,62.3516,95.0751,121.1458,2.1789,1.9646,1.3738,1.6612,1.9619,2.7993,2.3698,1.1112,1.4399,28.7181,-14.2244,32.2459,4.7063,15.4979,5.9818,8.0794,-13.7012,25.2651,8.6248,0.7189,0.5445,1.5312,0.8121,0.8996,-5.8342,-14.8524,-12.3913,33.6575,1.397,2.6367,7.777,4.7661,3.5731,-22.7514,-96.0828,,50.328,22.7326,22.2454,27.8296,40.4379,38.5851,-5.7217,-111.1019,-40.286
112115.SZ,12冀东03,4.9479,2.5682,2.8104,2.3687,1.4141,2.7811,2.9564,5.6966,9.0936,0.6454,0.7357,0.6877,0.5265,0.4259,0.5158,0.5064,0.8016,0.7768,0.4744,0.5774,0.5454,0.4204,0.3515,0.4409,0.4436,0.7383,0.6486,0.221,0.1321,0.1629,0.1407,0.0812,0.1628,0.1692,0.3706,0.5956,65.4412,67.7956,67.7456,69.4987,72.5467,73.0765,72.5263,61.5594,52.5172,0.3315,0.3487,0.3142,0.2386,0.1508,0.1886,0.2287,0.548,0.5433,59.8716,63.5734,63.4875,65.2341,68.0907,65.2778,64.467,44.8902,38.2109,26.4212,18.7923,14.9397,10.9994,6.8429,8.3702,12.0132,18.1872,16.2074,8.9929,6.5425,7.7347,14.3856,8.2577,21.8181,17.674,21.1698,23.8186,4.6296,0.3468,0.4698,-0.6368,-5.0397,-0.0572,0.3178,4.9688,7.9928,15.6104,1.5596,2.926,0.293,-15.697,0.5276,1.1003,12.0306,18.0456,27.5806,21.0793,25.0575,22.6533,17.6793,27.7056,22.63,23.3188,30.7822
112142.SZ,12格林债,5.1731,4.421,3.0629,3.4421,3.0847,3.0714,4.0861,3.6066,3.734,1.6187,1.2915,1.104,1.138,1.2592,1.2048,1.1499,1.2138,1.132,1.1374,0.7805,0.566,0.6292,0.8082,0.7575,0.6874,0.7484,0.6545,0.1694,0.1049,0.1401,0.1394,0.119,0.1195,0.1527,0.1953,0.2135,44.063,60.7939,65.7158,59.1146,57.4428,62.2371,64.5108,59.0395,58.76,0.9851,0.5307,0.2843,0.3192,0.3594,0.2814,0.3192,0.3753,0.3249,42.1843,59.3639,61.7821,53.4259,50.5363,56.6802,59.2045,52.2857,47.3241,9.9611,8.6241,10.152,5.972,4.906,5.4059,5.3841,6.7124,6.5691,12.7802,-17.6698,0.6568,0.5791,-5.8381,1.4795,2.17,7.0981,5.1353,4.1052,2.8071,2.3901,2.6794,1.5886,1.7116,3.158,3.2989,2.8938,7.4926,6.1382,6.3177,6.3688,2.8424,3.9234,8.4742,8.3945,7.2219,29.5674,26.8927,17.2321,19.3763,16.1151,14.3688,16.2799,15.7684,14.7904
112154.SZ,H2盐湖01,40.6678,11.8315,4.5279,4.6186,3.0981,2.6303,-0.6123,0.9164,-30.6342,1.2063,1.2157,1.1933,0.6709,0.8354,0.6904,0.5865,0.3648,0.3145,0.9668,1.013,0.9417,0.5141,0.6928,0.5347,0.4685,0.2727,0.2377,0.416,0.2349,0.0961,0.0872,0.0677,0.0639,-0.0168,0.0463,-1.2225,49.2258,58.3211,66.5331,71.6052,69.6674,68.2063,73.0204,74.9489,229.0134,0.6589,0.528,0.6104,0.4093,1.4196,0.5374,0.4817,0.1884,0.0757,38.0113,49.6119,61.6954,66.4572,64.6964,62.3252,68.1623,68.1857,508.7694,171.3976,72.7196,36.2705,39.4804,29.8782,24.6008,33.056,43.7734,33.9548,17.5434,17.981,1.6547,12.9426,6.9201,19.5754,12.9778,39.953,15.6229,14.0772,7.6643,2.2156,2.188,0.7324,0.2561,-5.1866,-4.5746,-95.6893,28.3018,17.0521,6.507,7.6388,2.7538,1.4389,-18.5843,-18.654,,56.1278,49.4533,34.4447,31.7972,27.9283,26.9101,-6.8474,10.4214,-247.8012
112227.SZ,H4利源债,6.3923,4.8773,5.11,6.1205,5.2158,4.7116,4.8639,-4.1467,-11.0326,2.0054,0.9098,1.4256,1.6144,0.2062,0.2217,0.1814,0.1233,0.1263,1.8396,0.8673,1.351,1.5714,0.1535,0.1849,0.1364,0.0988,0.1225,0.2712,0.2062,0.4122,0.2358,0.2299,0.1817,0.2298,-0.6217,-3.1155,43.8415,60.4421,32.4326,48.7214,56.4912,62.2357,47.4955,67.7016,284.8743,0.6625,0.6963,1.2715,1.5768,0.1475,0.1698,0.0462,0.0437,0.0282,42.3407,56.0232,29.4113,46.6886,52.3796,58.3082,38.9032,53.5389,,32.1845,37.3483,30.5162,28.8565,30.4075,27.2997,23.4836,4.0135,2.2514,-7.1144,36.2731,42.8782,37.9748,36.5492,27.5851,42.2686,-51.4955,38.6542,7.0536,6.9302,7.0921,7.055,6.1605,5.2635,3.8305,-29.3595,-123.3453,11.8478,15.0955,12.8397,12.1871,13.1457,13.0974,8.3306,-67.5273,,20.204,24.5671,28.2814,36.7292,42.2411,45.3645,38.5802,-595.2581,"-4,468.44"
112229.SZ,14白药01,,"1,439.13","1,767.85",161.4243,163.435,45.5494,76.4136,30.9681,,2.2075,2.5503,2.977,3.5693,3.6149,3.2768,3.3363,2.6784,4.6493,1.1494,1.2886,1.6769,2.3046,2.412,2.2495,2.1849,1.6973,3.4276,85.3618,115.0108,167.504,3.2747,3.6407,1.9849,2.1139,2.2738,5.2155,38.892,34.1024,29.9057,30.8801,29.8748,35.5604,34.5081,34.4171,23.2755,2.2086,3.3893,3.3646,2.8867,3.4339,2.7569,2.7043,0.9451,7.8591,0.2994,0.2369,0.1845,7.5507,6.3889,10.2599,9.0243,8.293,2.3491,25.8841,31.3027,31.7064,34.4792,25.7199,21.6552,21.653,17.3026,15.2465,-3.9584,5.8081,2.1603,8.4343,10.5096,13.3185,4.7531,9.8464,7.0951,14.4811,16.0215,19.7194,17.0919,15.4668,13.3594,11.9816,11.3283,10.428,24.2936,25.1541,28.9168,24.7956,22.5106,20.0275,18.6296,17.486,14.4966,12.5903,14.0204,17.672,16.0567,16.2085,16.0434,15.6463,15.3375,16.1141
112273.SZ,15金街01,2.5273,2.3924,2.5352,1.9465,1.3707,1.8051,2.5804,1.7863,1.7585,1.5414,1.7654,2.2103,2.0596,3.101,2.6099,2.6362,2.707,2.2053,0.4826,0.5385,0.6416,0.5349,0.6677,0.8208,0.6615,0.5969,0.6089,0.1505,0.1513,0.1677,0.13,0.0762,0.1031,0.1076,0.0889,0.0874,69.0309,69.9479,67.8514,69.3987,72.555,72.4098,73.0814,74.9551,75.9361,0.8093,1.0729,1.3298,0.6432,1.0868,3.5536,1.7184,1.2111,0.6943,53.716,56.6128,55.258,58.8668,65.7112,61.8808,64.9228,68.3942,68.4702,37.0903,76.2766,63.1698,21.3095,12.4123,22.2015,39.5177,69.2326,19.0706,-23.0922,-11.1751,-14.6156,-1.4575,-82.5042,86.0642,-28.4268,-40.8311,10.16,3.6134,4.1564,4.8186,3.8037,2.344,2.577,3.4469,2.9498,2.6541,11.5242,11.9725,13.7444,12.5916,9.0663,10.5367,10.4939,10.6264,10.3247,33.5281,24.1098,25.4814,22.622,27.2159,26.2534,26.3088,32.3528,28.261
112277.SZ,15金街03,2.5273,2.3924,2.5352,1.9465,1.3707,1.8051,2.5804,1.7863,1.7585,1.5414,1.7654,2.2103,2.0596,3.101,2.6099,2.6362,2.707,2.2053,0.4826,0.5385,0.6416,0.5349,0.6677,0.8208,0.6615,0.5969,0.6089,0.1505,0.1513,0.1677,0.13,0.0762,0.1031,0.1076,0.0889,0.0874,69.0309,69.9479,67.8514,69.3987,72.555,72.4098,73.0814,74.9551,75.9361,0.8093,1.0729,1.3298,0.6432,1.0868,3.5536,1.7184,1.2111,0.6943,53.716,56.6128,55.258,58.8668,65.7112,61.8808,64.9228,68.3942,68.4702,37.0903,76.2766,63.1698,21.3095,12.4123,22.2015,39.5177,69.2326,19.0706,-23.0922,-11.1751,-14.6156,-1.4575,-82.5042,86.0642,-28.4268,-40.8311,10.16,3.6134,4.1564,4.8186,3.8037,2.344,2.577,3.4469,2.9498,2.6541,11.5242,11.9725,13.7444,12.5916,9.0663,10.5367,10.4939,10.6264,10.3247,33.5281,24.1098,25.4814,22.622,27.2159,26.2534,26.3088,32.3528,28.261
112292.SZ,16冀中01,10.1084,8.6567,5.8737,3.13,3.359,4.0459,5.7868,6.1036,7.3857,1.164,1.1618,0.8955,1.0791,0.9681,1.023,1.2304,1.2844,1.3912,1.0775,1.0886,0.8229,0.9893,0.8968,0.9458,1.1776,1.2409,1.3228,0.5718,0.4964,0.3539,0.2087,0.1974,0.172,0.2475,0.2338,0.2738,57.2459,54.5574,56.0152,50.2378,50.9582,53.8275,54.5199,52.8507,49.565,1.2914,0.7657,0.4958,0.7275,0.6032,0.544,0.9766,0.9515,1.6767,40.7224,38.8588,41.4104,35.6445,36.5728,40.628,41.6675,41.9186,38.0721,17.8566,9.4448,6.0029,3.9572,2.778,3.0198,4.8242,7.1694,11.4815,8.1114,8.1854,21.0736,10.6924,8.3813,-1.7898,20.7875,14.4653,15.9253,9.6306,5.9231,2.7642,-0.3952,0.7362,0.3795,2.4404,2.2921,2.6378,23.4713,15.3925,7.7833,0.1441,1.9159,1.3212,5.6213,4.45,4.4689,17.0096,19.1214,17.5049,13.1436,18.1239,17.3474,18.0575,16.9651,17.7534
